Image,Blade Range,Total,Update Date,Image URL,Released Year,Model #,Brand,Type,Bevel,Slide,Blade Diameter,Watt,RPM,Power Supply,Soft Start,Laser,Others,Price,REF URL,Positioning/Highlights
,Ø222~267mm,"254
1800
Laser
E Brake, 
10"" Dual-Bevel Sliding Compound Miter Saw. **Rail-Forward Design**. Can be used flush against walls. Dual dust collection ports.",,https://media.cdn.bauhaus/m/181725/15.jpg,2017,LS1019L,Makita,1.Benchtop,Dual,Rail-Front,254mm,1800mm,3200,Corded,Soft Start,Laser,"E Brake, ","10"" Dual-Bevel Sliding Compound Miter Saw. **Rail-Forward Design**. Can be used flush against walls. Dual dust collection ports.",https://www.google.com/search?q=Makita+LS1019L+release+date+announcement;https://www.google.com/search?q=Makita+LS1019L+release+date+announcement,"10"" Dual-Bevel Sliding Compound Miter Saw. **Rail-Forward Design**. Can be used flush against walls. Dual dust collection ports."
,Ø222~267mm,"254
Laser
E Brake, 
10"" 18V X2 (36V) LXT® Brushless Sliding Compound Miter Saw. **Cordless Rail-Forward**. Equivalent to corded performance with LS1019L design.",,https://media.cdn.bauhaus/m/181725/15.jpg,2017,XSL06Z,Makita,1.Benchtop,Dual,Rail-Front,254mm,,4400,Cordless 18V2,Soft Start,Laser,"E Brake, ","10"" 18V X2 (36V) LXT® Brushless Sliding Compound Miter Saw. **Cordless Rail-Forward**. Equivalent to corded performance with LS1019L design.",https://www.google.com/search?q=Makita+XSL06Z+release+date,"10"" 18V X2 (36V) LXT® Brushless Sliding Compound Miter Saw. **Cordless Rail-Forward**. Equivalent to corded performance with LS1019L design."
,Ø279~333mm,"305
1800
Laser
E Brake, 
12"" Dual-Bevel Sliding Compound Miter Saw. **Flagship Rail-Forward**. Large capacity (8"" crown nested). Flush-to-wall design.",,https://media.cdn.bauhaus/m/181725/15.jpg,2018,LS1219L,Makita,1.Benchtop,Dual,Rail-Front,305mm,1800mm,3200,Corded,Soft Start,Laser,"E Brake, ","12"" Dual-Bevel Sliding Compound Miter Saw. **Flagship Rail-Forward**. Large capacity (8"" crown nested). Flush-to-wall design.",https://www.google.com/search?q=Makita+LS1219L+release+date;https://www.google.com/search?q=Makita+LS1219L+release+date,"12"" Dual-Bevel Sliding Compound Miter Saw. **Flagship Rail-Forward**. Large capacity (8"" crown nested). Flush-to-wall design."
,Ø279~333mm,"305
Laser
E Brake, 
12"" 18V X2 (36V) LXT® Brushless Sliding Compound Miter Saw. **Cordless Flagship**. 56 lbs, rail-forward design.",,https://media.cdn.bauhaus/m/181725/15.jpg,2019,XSL07,Makita,1.Benchtop,Dual,Rail-Front,305mm,,4400,Cordless 18V2,Soft Start,Laser,"E Brake, ","12"" 18V X2 (36V) LXT® Brushless Sliding Compound Miter Saw. **Cordless Flagship**. 56 lbs, rail-forward design.",https://www.google.com/search?q=Makita+XSL07+release+date+announcement;https://www.google.com/search?q=Makita+XSL07+release+date+announcement,"12"" 18V X2 (36V) LXT® Brushless Sliding Compound Miter Saw. **Cordless Flagship**. 56 lbs, rail-forward design."
,Ø279~333mm,"305
Laser
E Brake,  Interface
12"" 18V X2 (36V) LXT® Brushless Sliding Compound Miter Saw. **AWS Capable**. Same specs as XSL07 but with Bluetooth integration.",,https://media.cdn.bauhaus/m/181725/15.jpg,2019,XSL08,Makita,1.Benchtop,Dual,Rail-Front,305mm,,4400,Cordless 18V2,Soft Start,Laser,"E Brake,  Interface","12"" 18V X2 (36V) LXT® Brushless Sliding Compound Miter Saw. **AWS Capable**. Same specs as XSL07 but with Bluetooth integration.",https://www.google.com/search?q=Makita+XSL07+release+date+announcement;https://www.google.com/search?q=Makita+XSL08+release+date,"12"" 18V X2 (36V) LXT® Brushless Sliding Compound Miter Saw. **AWS Capable**. Same specs as XSL07 but with Bluetooth integration."
,Ø191~222mm,"216
Shadow
E Brake,  Interface
8-1/2"" XGT® Brushless Sliding Compound Miter Saw. Compact, high-power for trim. AWS capable, rail-forward design.",,https://media.cdn.bauhaus/m/181725/15.jpg,2021,GSL02,Makita,1.Benchtop,Dual,Rail-Front,216mm,,4800,Cordless 40V,Soft Start,Shadow,"E Brake,  Interface","8-1/2"" XGT® Brushless Sliding Compound Miter Saw. Compact, high-power for trim. AWS capable, rail-forward design.",https://www.google.com/search?q=Makita+GSL04+release+date+announcement;https://www.google.com/search?q=Makita+GSL04+release+date+announcement,"8-1/2"" XGT® Brushless Sliding Compound Miter Saw. Compact, high-power for trim. AWS capable, rail-forward design."
,Ø222~267mm,"254
Shadow
E Brake,  Interface
10"" XGT® Brushless Sliding Compound Miter Saw. **Core Professional**. 6-5/8"" nested crown capacity. AWS capable.",,https://media.cdn.bauhaus/m/181725/15.jpg,2021,GSL03,Makita,1.Benchtop,Dual,Rail-Front,254mm,,3600,Cordless 40V,Soft Start,Shadow,"E Brake,  Interface","10"" XGT® Brushless Sliding Compound Miter Saw. **Core Professional**. 6-5/8"" nested crown capacity. AWS capable.",https://www.google.com/search?q=Makita+GSL04+release+date+announcement;https://www.google.com/search?q=Makita+GSL04+release+date+announcement,"10"" XGT® Brushless Sliding Compound Miter Saw. **Core Professional**. 6-5/8"" nested crown capacity. AWS capable."
,Ø279~333mm,"305
Shadow
E Brake,  Interface
12"" XGT® Brushless Sliding Compound Miter Saw. **New Flagship**. 3-5/8"" x 15"" crosscut capacity at 90°. AWS capable.",,https://media.cdn.bauhaus/m/181725/15.jpg,2021,GSL04,Makita,1.Benchtop,Dual,Rail-Front,305mm,,3600,Cordless 40V,Soft Start,Shadow,"E Brake,  Interface","12"" XGT® Brushless Sliding Compound Miter Saw. **New Flagship**. 3-5/8"" x 15"" crosscut capacity at 90°. AWS capable.",https://www.google.com/search?q=Makita+GSL04+release+date+announcement;https://www.google.com/search?q=Makita+GSL04+release+date+announcement,"12"" XGT® Brushless Sliding Compound Miter Saw. **New Flagship**. 3-5/8"" x 15"" crosscut capacity at 90°. AWS capable."
,Ø222~267mm,"254
1560
Shadow
E Brake, 
10"" Slide Compound Miter Saw. Corded value-professional model. 13 AMP motor, LED worklight, compact sub-base. Introduced late 2025.",,https://cdn.makitatools.com/apps/cms/img/ls1/adbfc575-a56a-4155-a992-e147510702d2_ls1110f_f_1500px.png,2025,LS1110F,Makita,1.Benchtop,Single,Rail,254mm,1560mm,4500,Corded,Soft Start,Shadow,"E Brake, ","10"" Slide Compound Miter Saw. Corded value-professional model. 13 AMP motor, LED worklight, compact sub-base. Introduced late 2025.",https://www.google.com/search?q=Makita+LS1110F+release+date,"10"" Slide Compound Miter Saw. Corded value-professional model. 13 AMP motor, LED worklight, compact sub-base. Introduced late 2025."
,Ø191~222mm,"216
1500
Laser
8-1/2"" (216mm) Sliding Compound Miter Saw. **Integrated Handle**.",,https://media.cdn.bauhaus/m/181725/15.jpg,2011,KGS 216 M,Metabo,1.Benchtop,Single,Rail,216mm,1500mm,5000,Corded,Soft Start,Laser,,"8-1/2"" (216mm) Sliding Compound Miter Saw. **Integrated Handle**.",https://www.google.com/search?q=Metabo+KGS+216+M+release+date,"8-1/2"" (216mm) Sliding Compound Miter Saw. **Integrated Handle**."
,Ø222~267mm,"254
1450
Laser
10"" (254mm) Sliding Compound Miter Saw. High-value professional slider.",,https://media.cdn.bauhaus/m/181725/15.jpg,2011,KGS 254 M,Metabo,1.Benchtop,Single,Rail,254mm,1450mm,4500,Corded,Soft Start,Laser,,"10"" (254mm) Sliding Compound Miter Saw. High-value professional slider.",https://www.google.com/search?q=Metabo+KGS+254+M+launch+history,"10"" (254mm) Sliding Compound Miter Saw. High-value professional slider."
,Ø222~267mm,"254
Shadow
E Brake
**Brushless 18V** 10"" Slider with PCL. High-torque cordless.",,https://media.cdn.bauhaus/m/181725/15.jpg,2023,KGS 18 LTX BL 254,Metabo,1.Benchtop,Single,Rail,254mm,,4000,CAS Cordless 18V,Soft Start,Shadow,E Brake,"**Brushless 18V** 10"" Slider with PCL. High-torque cordless.",,"**Brushless 18V** 10"" Slider with PCL. High-torque cordless."
,Ø191~222mm,"216
1500
Shadow
8-1/2"" Slider with **PCL System**. Improved dust collection.",,https://media.cdn.bauhaus/m/181725/15.jpg,2023,KGS 216 M (2023 Refresh),Metabo,1.Benchtop,Single,Rail,216mm,1500mm,5000,Corded,Soft Start,Shadow,,"8-1/2"" Slider with **PCL System**. Improved dust collection.",https://www.google.com/search?q=Metabo+KGS+216+M+2023+PCL+launch;https://www.google.com/search?q=Metabo+KGS+18+LTX+BL+254+release+date,"8-1/2"" Slider with **PCL System**. Improved dust collection."
,Ø222~267mm,"254
1450
Shadow
10"" Slider with PCL System. Refined table extensions.",,https://media.cdn.bauhaus/m/181725/15.jpg,2023,KGS 254 M (2023 Refresh),Metabo,1.Benchtop,Single,Rail,254mm,1450mm,4500,Corded,Soft Start,Shadow,,"10"" Slider with PCL System. Refined table extensions.",https://www.google.com/search?q=Metabo+official+catalog+2023+miter+saw,"10"" Slider with PCL System. Refined table extensions."
,Ø222~267mm,"254
1090
Laser
10"" Sliding Compound Miter Saw. High precision. Vertical handle with vibration reduction.",,https://media.cdn.bauhaus/m/181725/15.jpg,2005,C10FSH,MetaboHPT - Hitachi,1.Benchtop,Dual,Rail,254mm,1090mm,3800,Corded,Soft Start,Laser,,"10"" Sliding Compound Miter Saw. High precision. Vertical handle with vibration reduction.",https://www.google.com/search?q=Hitachi+power+tools+catalog+2005+miter+saw;https://www.google.com/search?q=Hitachi+C10FSH+review+2005,"10"" Sliding Compound Miter Saw. High precision. Vertical handle with vibration reduction."
,Ø279~333mm,"305
1850
Laser
E Brake, 
12"" Sliding Compound Miter Saw. **Fixed-Rail Zero Clearance**. Laser marker. Digital display (on some models).",,https://media.cdn.bauhaus/m/181725/15.jpg,2006,C12RSH,MetaboHPT - Hitachi,1.Benchtop,Dual,Rail,305mm,1850mm,3800,Corded,Soft Start,Laser,"E Brake, ","12"" Sliding Compound Miter Saw. **Fixed-Rail Zero Clearance**. Laser marker. Digital display (on some models).",https://www.google.com/search?q=Hitachi+C12RSH+release+date+review;https://www.google.com/search?q=Hitachi+C12RSH+manual+2006,"12"" Sliding Compound Miter Saw. **Fixed-Rail Zero Clearance**. Laser marker. Digital display (on some models)."
,Ø191~222mm,"216
1050
-
E Brake, 
8-1/2"" Sliding Compound Miter Saw. **Lightweight (31 lbs)**. Slide range up to 12"".",,https://media.cdn.bauhaus/m/181725/15.jpg,2008,C8FSE,MetaboHPT - Hitachi,1.Benchtop,Single,Rail,216mm,1050mm,5500,Corded,Soft Start,-,"E Brake, ","8-1/2"" Sliding Compound Miter Saw. **Lightweight (31 lbs)**. Slide range up to 12"".",https://www.google.com/search?q=Hitachi+C8FSE+release+date+review;https://www.google.com/search?q=Hitachi+C8FSE+specifications+2008,"8-1/2"" Sliding Compound Miter Saw. **Lightweight (31 lbs)**. Slide range up to 12""."
,Ø279~333mm,"305
1800
Laser
Interface, 
12"" Dual Compound Miter Saw. **LCD Digital Display**. Laser marker. 15-Amp motor.",,https://media.cdn.bauhaus/m/181725/15.jpg,2012,C12LDH,MetaboHPT - Hitachi,1.Benchtop,Dual,Compound,305mm,1800mm,4300,Corded,Soft Start,Laser,"Interface, ","12"" Dual Compound Miter Saw. **LCD Digital Display**. Laser marker. 15-Amp motor.",https://www.google.com/search?q=Hitachi+C12LDH+release+date+Newegg;https://www.google.com/search?q=Hitachi+C12LDH+review+2012,"12"" Dual Compound Miter Saw. **LCD Digital Display**. Laser marker. 15-Amp motor."
,Ø279~333mm,"305
1520
Laser
E Brake, 
12"" Sliding Compound Miter Saw. **Refined Fixed-Rail System**. Large sliding fences. 15-Amp motor.",,https://media.cdn.bauhaus/m/181725/15.jpg,2014,C12RSH2,MetaboHPT - Hitachi,1.Benchtop,Dual,Rail,305mm,1520mm,3850,Corded,Soft Start,Laser,"E Brake, ","12"" Sliding Compound Miter Saw. **Refined Fixed-Rail System**. Large sliding fences. 15-Amp motor.",https://www.google.com/search?q=Hitachi+C12RSH2+release+date;https://www.google.com/search?q=Hitachi+C12RSH2+manual+2014,"12"" Sliding Compound Miter Saw. **Refined Fixed-Rail System**. Large sliding fences. 15-Amp motor."
,Ø222~267mm,"254
1800
Laser
10"" Single Bevel Compound Miter Saw. **Ultra-Lightweight (24.2 lbs)**. 15-Amp motor. Large table for workpiece support.",,https://media.cdn.bauhaus/m/181725/15.jpg,2017,C10FCG,MetaboHPT - Hitachi,1.Benchtop,Single,Compound,254mm,1800mm,5000,Corded,Soft Start,Laser,,"10"" Single Bevel Compound Miter Saw. **Ultra-Lightweight (24.2 lbs)**. 15-Amp motor. Large table for workpiece support.",https://www.google.com/search?q=Hitachi+C10FCG+release+date+Amazon;https://www.google.com/search?q=Hitachi+C10FCG+review+2017,"10"" Single Bevel Compound Miter Saw. **Ultra-Lightweight (24.2 lbs)**. 15-Amp motor. Large table for workpiece support."
,Ø222~267mm,"254
Laser
E Brake,  Speed Ctrl
10"" Dual Bevel Sliding Compound Miter Saw. **MultiVolt (36V AC/DC)**. Brushless motor. Zero-clearance slide.",,https://media.cdn.bauhaus/m/181725/15.jpg,2019,C3610DRA,MetaboHPT - Hitachi,1.Benchtop,Dual,Rail,254mm,,4000,Cordless 36V,Soft Start,Laser,"E Brake,  Speed Ctrl","10"" Dual Bevel Sliding Compound Miter Saw. **MultiVolt (36V AC/DC)**. Brushless motor. Zero-clearance slide.",https://www.google.com/search?q=MetaboHPT+C3610DRA+release+date;https://www.google.com/search?q=MetaboHPT+MultiVolt+miter+saw+launch+date,"10"" Dual Bevel Sliding Compound Miter Saw. **MultiVolt (36V AC/DC)**. Brushless motor. Zero-clearance slide."
,Ø279~333mm,"305
Shadow
E Brake,  Speed Ctrl
12"" Dual Bevel Sliding Compound Miter Saw. **36V MultiVolt**. Upgraded brushless motor. Shadow-line standard.",,https://media.cdn.bauhaus/m/181725/15.jpg,2024,C3612DRA,MetaboHPT - Hitachi,1.Benchtop,Dual,Rail,305mm,,4000,Cordless 36V,Soft Start,Shadow,"E Brake,  Speed Ctrl","12"" Dual Bevel Sliding Compound Miter Saw. **36V MultiVolt**. Upgraded brushless motor. Shadow-line standard.",https://www.google.com/search?q=MetaboHPT+C3612DRA+release+date;https://www.google.com/search?q=MetaboHPT+C3612DRA+review+2024,"12"" Dual Bevel Sliding Compound Miter Saw. **36V MultiVolt**. Upgraded brushless motor. Shadow-line standard."
,Ø279~333mm,"305
1800
-
E Brake
12"" Dual-Bevel Sliding Compound Miter Saw. **Digital Miter Readout**. Constant Power Technology. Dual lights.",,https://media.cdn.bauhaus/m/181725/15.jpg,2007,6955-20,Milwaukee,1.Benchtop,Dual,Rail,305mm,1800mm,3200,Corded,Soft Start,-,E Brake,"12"" Dual-Bevel Sliding Compound Miter Saw. **Digital Miter Readout**. Constant Power Technology. Dual lights.",https://www.google.com/search?q=Milwaukee+6955-20+release+date+review;https://www.google.com/search?q=Milwaukee+6955-20+digital+miter+saw+manual+2007,"12"" Dual-Bevel Sliding Compound Miter Saw. **Digital Miter Readout**. Constant Power Technology. Dual lights."
,Ø127~191mm,"190
-
E Brake
7-1/2"" (190mm) Cordless Sliding Miter Saw. Compact design. **European Release**. Dual vertical rails.",,https://media.cdn.bauhaus/m/181725/15.jpg,2014,M18 SMS190,Milwaukee,1.Benchtop,Dual,Rail,190mm,,5000,Cordless 18V,,-,E Brake,"7-1/2"" (190mm) Cordless Sliding Miter Saw. Compact design. **European Release**. Dual vertical rails.",https://www.google.com/search?q=Milwaukee+M18+SMS190+release+date;https://www.google.com/search?q=Milwaukee+M18+SMS190+review+2014,
,Ø222~267mm,"254
Shadow
E Brake
10"" Dual-Bevel Sliding Compound Miter Saw. **First M18 FUEL Slider**. Shadow line technology.",,https://media.cdn.bauhaus/m/181725/15.jpg,2016,2734-20,Milwaukee,1.Benchtop,Dual,Rail,254mm,,4000,Cordless 18V,Soft Start,Shadow,E Brake,"10"" Dual-Bevel Sliding Compound Miter Saw. **First M18 FUEL Slider**. Shadow line technology.",https://www.google.com/search?q=Milwaukee+2734-20+release+date;https://www.google.com/search?q=Milwaukee+2734-20+review+2016,"10"" M18 FUEL Dual-Bevel Slider. **Single Battery System**."
,Ø279~333mm,"305
Shadow
E Brake, IoT
12"" Dual-Bevel Sliding Compound Miter Saw. **ONE-KEY Integration**. 12"" capacity in a cordless frame.",,https://media.cdn.bauhaus/m/181725/15.jpg,2019,2739-20,Milwaukee,1.Benchtop,Dual,Rail,305mm,,3500,Cordless 18V,Soft Start,Shadow,"E Brake, IoT","12"" Dual-Bevel Sliding Compound Miter Saw. **ONE-KEY Integration**. 12"" capacity in a cordless frame.",https://www.google.com/search?q=Milwaukee+2739-20+release+date;https://www.google.com/search?q=Milwaukee+2739-20+review+2019,"12"" M18 FUEL Dual-Bevel Slider. Optimized for **HD12.0 High Output** batteries."
,Ø191~222mm,"194
Shadow
E Brake
7-5/8"" Sliding Compound Miter Saw. **M12 FUEL (12V)**. Lightweight portability.",,https://media.cdn.bauhaus/m/181725/15.jpg,2021,2522-20,Milwaukee,1.Benchtop,Single,Rail,194mm,,5500,Cordless 12V,Soft Start,Shadow,E Brake,"7-5/8"" Sliding Compound Miter Saw. **M12 FUEL (12V)**. Lightweight portability.",https://www.google.com/search?q=Milwaukee+2522-20+release+date;https://www.google.com/search?q=Milwaukee+2522-20+review+2021,
,Ø279~333mm,"305
1800
-
12"" Sliding Compound Miter Saw. Dual Bevel. Heavy-duty cast iron/aluminum construction.",,https://media.cdn.bauhaus/m/181725/15.jpg,2005,MS1290,Ridgid,1.Benchtop,Dual,Rail,305mm,1800mm,4000,Corded,,-,,"12"" Sliding Compound Miter Saw. Dual Bevel. Heavy-duty cast iron/aluminum construction.",https://www.google.com/search?q=Ridgid+power+tools+catalog+2005+miter+saw;https://www.google.com/search?q=Ridgid+MS1290+review+2005,"12"" Sliding Compound Miter Saw. Dual Bevel. Heavy-duty cast iron/aluminum construction."
,Ø279~333mm,"305
1800
Laser
12"" Sliding Compound Miter Saw with Integrated Laser. Refined fence system.",,https://media.cdn.bauhaus/m/181725/15.jpg,2008,MS1290LZ,Ridgid,1.Benchtop,Dual,Rail,305mm,1800mm,4000,Corded,,Laser,,"12"" Sliding Compound Miter Saw with Integrated Laser. Refined fence system.",https://www.google.com/search?q=Ridgid+MS1290LZ+release+date;https://www.google.com/search?q=Ridgid+MS1290LZ+manual+2008,"12"" Sliding Compound Miter Saw with Integrated Laser. Refined fence system."
,Ø222~267mm,"254
1800
Dual laser
10"" Dual Bevel Sliding Compound Miter Saw. High-precision finish work focus.",,https://media.cdn.bauhaus/m/181725/15.jpg,2012,MS255SR,Ridgid,1.Benchtop,Dual,Rail,254mm,1800mm,3600,Corded,,Dual laser,,"10"" Dual Bevel Sliding Compound Miter Saw. High-precision finish work focus.",https://www.google.com/search?q=Ridgid+MS255SR+release+date;https://www.google.com/search?q=Ridgid+MS255SR+manual+2012,"10"" Dual Bevel Sliding Compound Miter Saw. High-precision finish work focus."
,Ø222~267mm,"254
1800
Shadow
10"" Dual Bevel Compound Miter Saw. **LED Cut Line Indicator**. 15-Amp motor.",,https://media.cdn.bauhaus/m/181725/15.jpg,2014,R4113,Ridgid,1.Benchtop,Dual,Compound,254mm,1800mm,5000,Corded,Soft Start,Shadow,,"10"" Dual Bevel Compound Miter Saw. **LED Cut Line Indicator**. 15-Amp motor.",https://www.google.com/search?q=Ridgid+R4113+release+date;https://www.google.com/search?q=Ridgid+R4113+manual+2014,"10"" Dual Bevel Compound Miter Saw. **LED Cut Line Indicator**. 15-Amp motor."
,Ø127~191mm,"184
-
E Brake
7-1/4"" Brushless Dual Bevel Sliding Miter Saw. **Ridgid's first 18V Brushless Slider**.",,https://media.cdn.bauhaus/m/181725/15.jpg,2016,R48607K,Ridgid,1.Benchtop,Dual,Rail,184mm,,3650,Cordless 18V,,-,E Brake,"7-1/4"" Brushless Dual Bevel Sliding Miter Saw. **Ridgid's first 18V Brushless Slider**.",https://www.google.com/search?q=Ridgid+R48607K+release+date;https://www.google.com/search?q=Ridgid+R48607K+manual+2016,"7-1/4"" Brushless Dual Bevel Sliding Miter Saw. **Ridgid's first 18V Brushless Slider**."
,Ø279~333mm,"305
1800
Shadow
E Brake
12"" Dual Bevel Sliding Compound Miter Saw. **8-Bearing Slide System**. LED Shadow Line.",,https://media.cdn.bauhaus/m/181725/15.jpg,2022,R4251,Ridgid,1.Benchtop,Dual,Rail,305mm,1800mm,4000,Corded,Soft Start,Shadow,E Brake,"12"" Dual Bevel Sliding Compound Miter Saw. **8-Bearing Slide System**. LED Shadow Line.",https://www.google.com/search?q=Ridgid+R4251+release+date;https://www.google.com/search?q=Ridgid+R4251+manual+2022,"12"" Dual Bevel Sliding Compound Miter Saw. **8-Bearing Slide System**. LED Shadow Line."
,Ø191~222mm,"210
1500
Laser
8"" (210mm) Sliding Compound Miter Saw. Budget entry.",,https://media.cdn.bauhaus/m/181725/15.jpg,2005,Woodster SL 8,Scheppach,1.Benchtop,Single,Rail,210mm,1500mm,5000,Corded,,Laser,,"8"" (210mm) Sliding Compound Miter Saw. Budget entry.",https://www.google.com/search?q=Scheppach+Woodster+brand+launch+2005,"8"" (210mm) Sliding Compound Miter Saw. Budget entry."
,Ø222~267mm,"254
1800
Laser
10"" (254mm) Sliding Compound Miter Saw. High-value professional features for DIY price.",,https://media.cdn.bauhaus/m/181725/15.jpg,2007,HM100L,Scheppach,1.Benchtop,Single,Rail,254mm,1800mm,5000,Corded,,Laser,,"10"" (254mm) Sliding Compound Miter Saw. High-value professional features for DIY price.",https://www.google.com/search?q=Scheppach+HM100L+release+date+review,"10"" (254mm) Sliding Compound Miter Saw. High-value professional features for DIY price."
,Ø191~222mm,"210
1500
Laser
8"" (210mm) Sliding Compound Miter Saw. **Lightweight (13.5 kg)**. 340mm cross-cut capacity.",,https://media.cdn.bauhaus/m/181725/15.jpg,2015,HM80L,Scheppach,1.Benchtop,Single,Rail,210mm,1500mm,5000,Corded,,Laser,,"8"" (210mm) Sliding Compound Miter Saw. **Lightweight (13.5 kg)**. 340mm cross-cut capacity.",https://www.google.com/search?q=Scheppach+HM80L+release+date;https://www.google.com/search?q=Scheppach+HM80L+manual+2015,"8"" (210mm) Sliding Compound Miter Saw. **Lightweight (13.5 kg)**. 340mm cross-cut capacity."
,Ø279~333mm,"305
2000
Laser
12"" (305mm) Sliding Compound Miter Saw. **Massive 330mm cut width**. Dual bevel.",,https://media.cdn.bauhaus/m/181725/15.jpg,2017,HM140L,Scheppach,1.Benchtop,Dual,Rail,305mm,2000mm,3800,Corded,Soft Start,Laser,,"12"" (305mm) Sliding Compound Miter Saw. **Massive 330mm cut width**. Dual bevel.",https://www.google.com/search?q=Scheppach+HM140L+release+date;https://www.google.com/search?q=Scheppach+HM140L+manual+2017,"12"" (305mm) Sliding Compound Miter Saw. **Massive 330mm cut width**. Dual bevel."
,Ø191~222mm,"216
2000
Laser
8-1/2"" (216mm) ""New Gen"" Slider. Lightweight aluminum frame.",,https://media.cdn.bauhaus/m/181725/15.jpg,2022,HM216SPX,Scheppach,1.Benchtop,Dual,Rail,216mm,2000mm,4800,Corded,Soft Start,Laser,,"8-1/2"" (216mm) ""New Gen"" Slider. Lightweight aluminum frame.",https://www.google.com/search?q=Scheppach+HM216SPX+release+date,"8-1/2"" (216mm) ""New Gen"" Slider. Lightweight aluminum frame."
,Ø222~267mm,"254
2000
Laser
E Brake, 
10"" (254mm) ""New Gen"" Slider. Optimized motor for hardwood.",,https://media.cdn.bauhaus/m/181725/15.jpg,2022,HM254SPX,Scheppach,1.Benchtop,Dual,Rail,254mm,2000mm,4800,Corded,Soft Start,Laser,"E Brake, ","10"" (254mm) ""New Gen"" Slider. Optimized motor for hardwood.",https://www.google.com/search?q=Scheppach+HM254SPX+review+2022,"10"" (254mm) ""New Gen"" Slider. Optimized motor for hardwood."
